No;Autor;UO;Função;Eh;Subfunção;Localização;Subtítulo;Qtde;Unidade;Valor
561;Dr Michel;AR Sobradinho II;Urbanismo;Não é evento;Desporto Comunitário;XXVI-Sobradinho II;Construção de Campo de Futebol de Grama Sintética;1.080;m2;600.000,00
562;Dr Michel;AR Planaltina;Cultura;Evento;Difusão cultural;VI-Planaltina;Apoio à Comissão Jovem Gente Como a Gente;1;evento;50.000,00
563;Dr Michel;AR Fercal;Urbanismo;Não é evento;Infra-Estrutura urbana;XXXI-Fercal;Executar Obras de Urbanização e Infra-Estrutura;2.000;m2;3.000.000,00
564;Dr Michel;AR Sobradinho II;Urbanismo;Não é evento;Infra-Estrutura urbana;XXVI-Sobradinho II;Reforma da Feira Permanente;300;m2;350.000,00
565;Dr Michel;AR Fercal;Administração;Não é evento;Gestão Man. Serv. Estado;XXXI-Fercal;Capacitação dos servidores;30;servidor;50.000,00
566;Dr Michel;AR Sobradinho II;Energia;Não é evento;Infra-Estrutura urbana;XXVI-Sobradinho II;Ampliação da rede de iluminação pública;1.000;luminária;300.000,00
567;Dr Michel;AR Fercal;Desporto e Lazer;Evento;Lazer;XXXI-Fercal;Promoção de atividades esportivas;10;evento;150.000,00
568;Dr Michel;AR Planaltina;Cultura;Evento;Difusão cultural;VI-Planaltina;Apoio à Festa do Divino Espírito Santo em Planaltina;1;evento;100.000,00
569;Dr Michel;AR Planaltina;Cultura;Evento;Difusão cultural;VI-Planaltina;Apoio à Festa de Pentecostes;1;evento;50.000,00
570;Dr Michel;AR Planaltina;Cultura;Evento;Difusão cultural;VI-Planaltina;Apoio à Via Sacra;1;evento;150.000,00
571;Dr Michel;AR Sobradinho II;Urbanismo;Não é evento;Desenvolvimento urbano;XXVI-Sobradinho II;Implantar PEC;200;m2;300.000,00
572;Dr Michel;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio ao evento Encontro de Muladeiros do Planalto Central;1;evento;50.000,00
573;Dr Michel;AR Sobradinho;Energia;Não é evento;Infra-Estrutura urbana;V-Sobradinho;Ampliação do sistema de iluminação pública;2.000;m;400.000,00
574;Dr Michel;AR Sobradinho;Desporto e Lazer;Não é evento;Lazer;V-Sobradinho;Apoio ao Desporto e Lazer;10;evento;100.000,00
575;Dr Michel;AR Planaltina;Urbanismo;Não é evento;Desporto Comunitário;VI-Planaltina;Construção de quadras de esportes na Escola no Núcleo Rural Bom Sucesso;200;m2;150.000,00
576;Dr Michel;AR Sobradinho;Cultura;Evento;Difusão cultural;V-Sobradinho;Apoio a atividades culturais;10;evento;200.000,00
577;Dr Michel;AR Planaltina;Urbanismo;Não é evento;Desporto Comunitário;VI-Planaltina;Construção da cobertura da quadra de esportes do Centro de Ensino Especial número 1;200;m2;200.000,00
578;Dr Michel;AR Planaltina;Urbanismo;Não é evento;Desporto Comunitário;VI-Planaltina;Construção da cobertura da quadra de esportes do CEF Qd 08 do Arapoanga ;200;m2;200.000,00
579;Claudio Abrantes;AR Planaltina;Cultura;Evento;Difusão cultural;VI-Planaltina;Apoio à realização ao II Encontro de Folias do Divino de Planaltina;1;evento;250.000,00
580;Claudio Abrantes;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio às atividades do rock/Brasília;1;evento;300.000,00
581;Claudio Abrantes;SE Agricultura;Agricultura ;Evento;Promoção da prod. Vegetal;DF;Apoio à Feira do Empreendedor 2013;1;evento;100.000,00
582;Claudio Abrantes;AR Planaltina;Cultura;Evento;Difusão cultural;VI-Planaltina;Apoio a: Festival de Rock, Mostra de Teatro, Carro de Boi, Festança, Cidade Sustentável, Agrotab, Festa do Pimentão e AMIPAZ;8;evento;900.000,00
583;Claudio Abrantes;SE Trabalho;Trabalho;Não é evento;Trabalho, emprego, renda;DF;Apoio à qualificação de intérprete de Libras;500;pessoa;250.000,00
584;Claudio Abrantes;AR Planaltina;Cultura;Evento;Difusão cultural;VI-Planaltina;Apoio à realização da Cruzada Evangelística de Planaltina;1;evento;120.000,00
585;Claudio Abrantes;AR Planaltina;Cultura;Evento;Difusão cultural;VI-Planaltina;Apoio ao projeto Pau Pereira;1;evento;60.000,00
586;Claudio Abrantes;SE Cultura;Cultura;Não é evento;Difusão cultural;DF;Apoio a Estúdios Comunitários;7;projeto;750.000,00
587;Claudio Abrantes;SE Esporte;Desporto e Lazer;Evento;Lazer;DF;Apoio a Eventos da Secretária de Esportes;20;projeto;250.000,00
588;Claudio Abrantes;AR Planaltina;Cultura;Evento;Difusão cultural;VI-Planaltina;Apoio à realização da Festa do Divino;1;evento;170.000,00
589;Claudio Abrantes;AR Planaltina;Cultura;Evento;Difusão cultural;VI-Planaltina;Apoio à realização da Festa de Santa Rita;1;evento;50.000,00
590;Claudio Abrantes;AR Planaltina;Cultura;Não é evento;Difusão cultural;VI-Planaltina;Construção do Complexo Cultural da Planaltina - Casa da Cultura;9.000;m2;1.000.000,00
591;Claudio Abrantes;SE Cultura;Cultura;Não é evento;Difusão cultural;DF;Apoio às atividades da Orquestra Sinfônica de Brasília;20;evento;300.000,00
592;Claudio Abrantes;AR Planaltina;Cultura;Evento;Difusão cultural;VI-Planaltina;Apoio à realização da Via Sacra;1;evento;350.000,00
593;Claudio Abrantes;AR Planaltina;Desporto e Lazer;Não é evento;Lazer;VI-Planaltina;Implantação de PEC;8;PEC;300.000,00
594;Claudio Abrantes;AR Sobradinho;Cultura;Evento;Difusão cultural;V-Sobradinho;Apoio à realização da Via Sacra;1;evento;150.000,00
595;Claudio Abrantes;Fundo de Saúde;Saúde;Não é evento;Atenção básica à saúde;VI-Planaltina;Ampliação/Construção do Centro de Saúde 05;0;Unidade não informada;150.000,00
596;Claudio Abrantes;AR Planaltina;Desporto e Lazer;Não é evento;Lazer;VI-Planaltina;Construção de campos sintéticos;33.000;m2;1.800.000,00
597;Claudio Abrantes;SE Agricultura;Agricultura ;Não é evento;Promoção da prod. Vegetal;DF;Fomento à floricultura;100;muda;100.000,00
598;Claudio Abrantes;SE Agricultura;Agricultura ;Não é evento;Ass. Comunitária;VI-Planaltina;Construção/reforma do Galpão Comunitário Pipiripau II;0;Unidade não informada;200.000,00
599;Claudio Abrantes;SE Educação;Educação;Não é evento;Desporto Comunitário;VI-Planaltina;Implantação da cobertura da Quadra do Núcleo Rural São José;200;m2;250.000,00
600;Claudio Abrantes;AR Planaltina;Desporto e Lazer;Evento;Lazer;VI-Planaltina;Apoio a atividades esportivas - Esportes radicais, campeonatos, copinha e Qualificando Espaços Públicos;5;evento;500.000,00
601;Claudio Abrantes;SE Cultura;Cultura;Não é evento;Difusão cultural;DF;Apoio ao cinema nas Unidades de Integração;1;projeto;200.000,00
602;Claudio Abrantes;AR Sobradinho;Comércio e Serviços;Evento;Turismo;V-Sobradinho;Apoio à Feicotur - Feira de Indústria, Comércio e Turismo de Sobradinho;1;evento;80.000,00
603;Claudio Abrantes;AR Planaltina;Urbanismo;Não é evento;Infra-Estrutura urbana;VI-Planaltina;Calçadas - Caminhadas;100;m2;800.000,00
604;Claudio Abrantes;SE Educação;Educação;Não é evento;Ensino Fundamental;VI-Planaltina;Apoio ao CEF Arapoangas;1.000;m2;500.000,00
605;Claudio Abrantes;AR Sobradinho;Desporto e Lazer;Evento;Lazer;V-Sobradinho;Apoio às atividades esportivas;4;evento;270.000,00
606;Claudio Abrantes;PCDF;Segurança Pública;Não é evento;Infra-Estrutura urbana;DF;Construção da sede do Instituto de Criminalística da PCDF;2.000;m2;250.000,00
607;Claudio Abrantes;SE Esporte;Desporto e Lazer;Não é evento;Desporto de rendimento;DF;Apoio às atividades da Liga de Judô do DF e Entorno;1;projeto;100.000,00
608;Claudio Abrantes;AR Planaltina;Cultura;Evento;Difusão cultural;VI-Planaltina;Apoio à Cavalgada Portal Minas;1;evento;50.000,00
609;Claudio Abrantes;SE Cultura;Cultura;Não é evento;Difusão cultural;DF;Apoio ao Projeto Cia Nós no Bambu;1;projeto;250.000,00
610;Claudio Abrantes;SE Cultura;Cultura;Não é evento;Difusão cultural;DF;Apoio à produção do filme Mudança Capital;1;projeto;200.000,00
611;Claudio Abrantes;SE Educação;Educação;Não é evento;Educação Básica;VI-Planaltina;Apoio ao CEM Stella dos Querubins;1.000;m2;450.000,00
612;Claudio Abrantes;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização do Projeto Caravana da Leitura ;10;evento;100.000,00
613;Claudio Abrantes;SE Educação;Educação;Não é evento;Educação Básica;VI-Planaltina;Apoio ao CEM 01;1.000;m2;600.000,00
614;Claudio Abrantes;AR Planaltina;Cultura;Evento;Difusão cultural;VI-Planaltina;Apoio à realização da Festa de São Vicente de Paulo;1;evento;50.000,00
615;Olair Francisco;AR Águas Claras;Urbanismo;Não é evento;Infra-Estrutura urbana;XX-Águas Claras;Execução de obras de urbanização e infraestrutura;50.000;m2;3.100.000,00
616;Olair Francisco;AR Santa Maria;Urbanismo;Não é evento;Infra-Estrutura urbana;XIII-Santa Maria;Execução de obras de urbanização e infraestrutura;30.000;m2;900.000,00
617;Olair Francisco;AR Santa Maria;Cultura;Evento;Difusão cultural;XIII-Santa Maria;Realização Evento Miss Top Colegial;1;evento;50.000,00
618;Olair Francisco;AR Guará;Urbanismo;Não é evento;Infra-Estrutura urbana;X-Guará;Reforma e revitalização da Feira do Guará;10.000;m2;150.000,00
619;Olair Francisco;AR Samambaia;Urbanismo;Não é evento;Infra-Estrutura urbana;XII-Samambaia;Execução de obras de urbanização e infraestrutura;50.000;m2;600.000,00
620;Olair Francisco;SE Agricultura;Agricultura ;Evento;Difusão cultural;DF;Apoio à realização de eventos - XXXX Casa Rural - Participação eventos agropecuários;1;evento;150.000,00
621;Olair Francisco;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização de eventos culturais e educacionais;5;evento;1.300.000,00
622;Olair Francisco;SE Cultura;Cultura;Evento;Difusão cultural;IX-Ceilândia;Apoio à realização de eventos culturais;1;evento;150.000,00
623;Olair Francisco;AR Guará;Desporto e Lazer;Não é evento;Lazer;X-Guará;Construção de Quadra de Esportes no Quarto Batalhão da PMDF;7.000;m2;150.000,00
624;Olair Francisco;SE Cultura;Cultura;Não é evento;Difusão cultural;I-Plano Piloto;Apoio financeiro ao Memorial JK;1;entidade;190.000,00
625;Olair Francisco;AR Águas Claras;Cultura;Evento;Difusão cultural;XX-Águas Claras;Realização de eventos - Aniversário da Cidade;1;evento;100.000,00
626;Olair Francisco;AR Brazlândia;Urbanismo;Não é evento;Infra-Estrutura urbana;IV-Brazlândia;Execução de obras de urbanização e infraestrutura;20.000;m2;300.000,00
627;Olair Francisco;AR Santa Maria;Cultura;Evento;Difusão cultural;XIII-Santa Maria;Apoio à realização Festa Forrodilha do Cerrado;1;evento;100.000,00
628;Olair Francisco;AR Taguatinga;Cultura;Evento;Difusão cultural;III-Taguatinga;Realização de eventos - Lavagem do Acarajé da Yaya;1;evento;30.000,00
629;Olair Francisco;AR Brazlândia;Cultura;Evento;Difusão cultural;IV-Brazlândia;Realização de eventos - Festa do morango e exposição agrícola;1;evento;80.000,00
630;Olair Francisco;AR Brazlândia;Urbanismo;Não é evento;Infra-Estrutura urbana;IV-Brazlândia;Manutenção de estradas rurais;20.000;m2;50.000,00
631;Olair Francisco;SE Segurança;Segurança Pública;Não é evento;Segurança Pública;DF;Capacitação de servidores - Agentes de segurança;300;servidor;200.000,00
632;Olair Francisco;AR Brazlândia;Cultura;Evento;Difusão cultural;IV-Brazlândia;Apoio à realização de eventos culturais e desportivos;1;evento;150.000,00
633;Olair Francisco;PCDF;Segurança Pública;Não é evento;Segurança Pública;DF;Reforma e ampliação do Instituto de Identificação da PCDF;10.000;m2;200.000,00
634;Olair Francisco;AR Park Way;Urbanismo;Não é evento;Infra-Estrutura urbana;XXIV-Park Way;Execução de obras de urbanização e infraestrutura;5.000;m2;150.000,00
635;Olair Francisco;AR São Sebastião;Cultura;Evento;Difusão cultural;XIV-São Sebastião;Apoio à realização do evento Esporte a Melhor Saída contra as Drogas;1;evento;100.000,00
636;Olair Francisco;AR Guará;Urbanismo;Não é evento;Infra-Estrutura urbana;X-Guará;Reforma e revitalização da Feira do Guará;20.000;m2;150.000,00
637;Olair Francisco;AR Riacho Fundo II;Urbanismo;Não é evento;Infra-Estrutura urbana;XXI-Riacho Fundo II;Construção de feiras;20.000;m2;800.000,00
638;Olair Francisco;AR Águas Claras;Cultura;Evento;Difusão cultural;XX-Águas Claras;Apoio à realização de Festa de Natal para as Crianças;1;evento;150.000,00
639;Olair Francisco;Novacap;Urbanismo;Não é evento;Infra-Estrutura urbana;DF;Execução de obras de urbanização e infraestrutura;50.000;m2;4.000.000,00
640;Olair Francisco;SE Cultura;Cultura;Evento;Difusão cultural;DF;Apoio à realização de eventos - O Maior São João do Cerrado;1;evento;200.000,00
641;Claudio Abrantes;SE Fazenda;Administração;Não é evento;Tecnologia da Informação;DF;Gestão da Informação e dos Sistemas de TI;1;ação;200.000,00
642;Claudio Abrantes;SE Educação;Educação;Não é evento;Educação Básica;DF;Aquisição de ônibus para Educação Ambiental;0;Unidade não informada;200.000,00
643;Claudio Abrantes;SE Educação;Educação;Não é evento;Educação Básica;VI-Planaltina;Apoio ao CE Osório Bacchin;60;m2;200.000,00
644;Chico Vigilante;Instituto do Meio Ambiente;Urbanismo;Não é evento;Infra-Estrutura urbana;II-Gama;Revitalização do Parque Recreativo do Gama (Prainha);1;parque;300.000,00
